ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,foul_committed_offensive,injury_stoppage_in_chain,pass_outswinging,pass_miscommunication,bad_behaviour_card,ball_recovery_offensive,pass_straight,50_50,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,shot_open_goal,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,shot_saved_off_target,shot_saved_to_post,block_save_block,dribble_no_touch,shot_redirect,shot_follows_dribble,goalkeeper_success_in_play,goalkeeper_lost_in_play,half_start_late_video_start,player_off_permanent,goalkeeper_lost_out,half_end_early_video_end,goalkeeper_success_out
,,,,,,,,,,,,,,,,,0.866023,,,,,,,,,,,,2343371d-c62d-449f-b50d-a29c673c0719,3813,,"[68.9, 50.9]",9642,90,,,,,-0.7551044,,Right Foot,,,,"[85.9, 34.9]",,Ground Pass,,23.345236,,,Lionel Andrés Messi Cuccittini,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,179,Barcelona,217,['3f4944a2-d925-4c7d-b8f6-3783e93014e8'],52,,,,,,,,,,,,,,,,Barcelona,217,00:45:52.239,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.108143,,,,,,,,,,,,c0e260d1-f0d7-4b10-be33-7111bb9c4e20,105,,"[56.3, 40.6]",9602,1,,,,,1.1867032,,Right Foot,,,,"[66.0, 64.6]",,Ground Pass,,25.886097,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,8,Barcelona,217,['a5323e91-cf40-451b-9e09-67428d0ae981'],37,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.407,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.665502,,,,,,,,,,,,0a9d4e12-e76f-4a3a-8d55-550f3bf1bc02,348,,"[78.7, 43.3]",9602,5,,,,,0.057080783,,Left Foot,,,,"[92.7, 44.1]",,Ground Pass,,14.022839,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,16,Barcelona,217,['bb292f16-fca0-41c6-8890-fcf5cab39c95'],54,,,,,,,,,,,,,,,,Barcelona,217,00:05:54.923,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.856149,,,,,,,,,,,,b7fca7ce-3b28-499e-a95a-346a220d29a8,379,,"[64.9, 48.9]",9602,6,,,,,-0.30490682,,Right Foot,,,,"[84.6, 42.7]",,Ground Pass,,20.652603,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,16,Barcelona,217,['e35d6dc7-21db-4821-847c-46ea4e53af27'],17,,,,,,,,,,,,,,,,Barcelona,217,00:06:17.293,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.95226,,,,,,,,,,,,e9e6e562-aa9d-45c8-9be5-e9e56b65637c,484,,"[54.4, 40.1]",9602,8,,,,,0.45545107,,Left Foot,,,,"[59.3, 42.5]",,Ground Pass,,5.456189,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,20,Barcelona,217,['9163bfd1-61f5-4f93-88ec-db45ae99ca9a'],48,,,,,,,,,,,,,,,,Barcelona,217,00:08:48.493,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.827734,,,,,,,,,,,,618c2703-1182-4848-938a-bfa9fc207f3d,1184,,"[55.5, 38.4]",9602,26,,,,,-0.57058275,,Right Foot,,,,"[62.2, 34.1]",,Ground Pass,,7.961156,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,55,Barcelona,217,['d6a0dee0-c8a9-4bd8-811b-12fa854d2749'],24,,,,,,,,,,,,,,,,Barcelona,217,00:26:24.481,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.03452,,,,,,,,,,,,52179d0c-7b93-4eab-82cb-74022cf5e673,1276,,"[76.3, 49.2]",9602,28,,True,,,-0.45430207,,Right Foot,,,,"[80.6, 47.1]",,Ground Pass,,4.7853947,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,58,Barcelona,217,['7853a3b2-9bff-4c5c-aabe-75cc35fc0353'],24,,,,,,,,,,,,,,,,Barcelona,217,00:28:24.092,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.99728,,,,,,,,,,,,bf1cab21-4d2b-4db0-b096-03ee1703f457,1519,,"[76.3, 20.7]",9602,35,,,,,0.95230895,,Right Foot,,,,"[91.6, 42.2]",,Low Pass,,26.388254,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,73,Barcelona,217,['b3f56a0c-88f9-45b7-b73a-22923b16cd06'],35,,,,,,,,,,,,,,,,Barcelona,217,00:35:35.704,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.555066,,,,,,,,,,,,c2953c2c-70eb-426e-a33f-facb0e148542,1527,,"[80.0, 37.4]",9602,35,,,,,-0.40725586,,Right Foot,,,,"[85.1, 35.2]",,Ground Pass,,5.5542774,,,Lionel Andrés Messi Cuccittini,,,,,Interception,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,73,Barcelona,217,"['8dd0244d-dcef-4a6d-9888-05a218c793ec', '97563bf3-eba7-4ad3-be5d-02ac62ed585f']",39,,,,,,,,,,,,,,,,Barcelona,217,00:35:39.734,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2.781331,,,,,,,,,,,,05f1233f-9a44-4af2-9af3-3e434da4e8d3,2463,,"[71.1, 29.7]",9602,59,,,,,1.018792,,Right Foot,,,,"[100.6, 77.6]",,High Pass,,56.25531,,,Lionel Andrés Messi Cuccittini,,True,,,,2,From Corner,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,116,Barcelona,217,['db885974-6ff2-42ab-a2df-c5de0ad5b850'],44,,,,,,,,,,,,,,,,Barcelona,217,00:14:44.962,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,
